"","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases","Japanese encephalitis - number of reported cases"
"El Salvador","0","","","","","","","","","","","","0"
"Equatorial Guinea","","","0","0","","","","","","","","",""
"Eritrea","0","","","","","0","","","","","","",""
"Estonia","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eswatini","0","0","","","","0","0","0","","0","0","0","0"
"Fiji","0","","","","","","","","0","0","0","","0"
"Finland","0","0","0","0","","","","0","0","0","0","0","0"
"France","","","","","","0","","","","","0","",""
"Gambia","","0","","0","0","0","0","0","0","0","0","0","0"
"Georgia","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ghana","0","0","0","0","0","0","","","0","","","",""
"Greece","","0","0","0","","","0","0","0","","","",""
"Guinea","","","","","","","","","0","0","0","",""
"Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guyana","","","","","","","","","","","","","0"
"Hungary","0","0","0","0","0","0","","0","0","0","0","0","0"
"Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0"
"India","1707","2043","1627","1620","1657","1078","","1214","555","653","427","4017",""
"Indonesia","","281","43","40","72","","","","","","","",""
"Iran (Islamic Republic of)","0","","","","","","","","","","","",""
"Iraq","0","","","","0","0","","","","","0","0",""
"Ireland","0","0","","0","0","0","0","0","0","0","0","0","0"
"Italy","0","0","","0","","","","","","","","","0"
"Jamaica","","","","","","","","","","","","0","0"
"Japan","0","3","11","2","2","9","2","9","4","3","3","","5"
"Jordan","0","","","","","","","0","0","0","0","0","0"
"Kazakhstan","","0","0","0","","0","0","","0","0","0","0","0"
"Kenya","","","","","","","0","0","","","","",""
"Kiribati","0","0","","","0","0","0","0","0","0","0","0",""
"Kuwait","","","","","","0","0","0","0","","","",""
"Kyrgyzstan","","","","","","","","","","","0","",""
"Lao People's Democratic Republic","11","9","19","13","4","9","23","24","82","26","","44","12"
"Latvia","","","0","0","","0","0","0","0","0","0","0","0"
"Lebanon","0","0","0","0","0","","0","","0","0","0","","0"
"Lesotho","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liberia","","","","0","0","0","0","0","","0","","",""
"Libya","0","","","","","","0","","","","0","0","0"
"Lithuania","0","0","0","","0","0","0","0","","0","0","0","0"
"Luxembourg","","0","0","","","","","0","0","0","0","0","0"
"Madagascar","","","","","","","","0","0","0","","",""
"Malawi","0","0","0","0","0","0","","","","","","",""
"Malaysia","28","20","59","36","47","12","22","12","0","9","17","",""
"Maldives","0","0","0","0","0","0","0","0","0","0","","",""
"Mali","","","","","","","","","","","","","0"
"Malta","0","0","0","0","0","","","0","0","0","0","0",""
"Marshall Islands","","","","","","","0","0","0","0","","0","0"
"Mauritania","","","0","0","","0","","","","","","",""
"Mauritius","","0","","","0","0","0","0","0","0","0","0","0"
"Micronesia (Federated States of)","0","0","0","0","0","","","","0","0","","0","0"
"Mongolia","0","0","0","0","0","0","0","0","0","0","0","0",""
"Montenegro","","0","0","","","0","0","0","","0","0","0","0"
"Morocco","","","","","","","","0","","","","0","0"
"Mozambique","","0","","0","","","","","","","0","0",""
"Myanmar","126","442","393","113","50","3","14","20","18","8","5","28","0"
"Namibia","","0","","0","0","","","0","0","","0","0",""
"Nauru","","","","","","","","0","","0","0","0","0"
"Nepal","57","63","98","937","1304","118","75","126","183","146","329","435","290"
"New Zealand","0","0","0","0","0","0","0","0","0","0","","0","0"
"Niger","","0","0","","0","0","0","","0","","","",""
"Nigeria","","","","","","","","0","","","","",""
"Niue","","","","","","0","0","0","0","0","0","0",""
"Norway","0","1","0","0","0","0","0","0","0","0","0","","0"
"Oman","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Palau","","0","0","0","0","0","0","0","0","0","0","0","0"
"Panama","","","","","","","","","","","","","0"
"Papua New Guinea","0","1","0","4","1","0","0","","","","2","",""
"Paraguay","","","","","","","","","","","","0","0"
"Philippines","204","361","312","115","69","24","","","181","5","34","",""
"Poland","0","0","0","","","0","0","","0","0","","0","0"
"Portugal","","","","","","","","","","","","","0"
"Qatar","0","0","0","0","0","0","0","0","0","0","","0","0"
"Republic of Korea","","9","0","40","26","14","20","3","26","3","6","7","0"
"Republic of Moldova","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Republic of North Macedonia","","","","","","","","","","","","0","0"
"Romania","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Russian Federation","","","","","0","","","","","","0","",""
"Rwanda","0","0","","0","","","","","","","","",""
"Saint Kitts and Nevis","","","","","","","","","","","","0","0"
"Saint Lucia","","","","","","","","","","","","","0"
"Saint Vincent and the Grenadines","0","","","","","","","","","","","","0"
"Samoa","0","0","","","","","0","0","0","0","","","0"
"San Marino","0","0","0","","","","0","0","0","0","","0","0"
"Sao Tome and Principe","0","","0","0","","","","","","0","0","0","0"
"Saudi Arabia","","","0","0","","0","","0","0","0","0","0","0"
"Senegal","","","","","","","","","","","","0",""
"Serbia","0","","","","","","","","","","0","0","0"
"Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sierra Leone","","","","","","","","","","","","0","7"
"Singapore","0","0","","","","","0","0","1","0","1","1","1"
"Slovakia","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Slovenia","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solomon Islands","0","","","","","0","0","0","0","0","0","0","0"
"South Africa","0","0","0","0","0","","","0","","0","","",""
"South Sudan","","0","","0","0","","","","","","","",""
"Spain","","0","","","","0","0","0","0","0","","0",""
"Sri Lanka","29","23","18","17","21","70","60","30","27","72","118","45","29"
"Suriname","","","","","","","","","","","","0",""
"Sweden","0","1","0","1","1","0","0","0","1","0","0","0","0"
"Switzerland","","","","","","","","","","0","0","0","0"
"Syrian Arab Republic","0","0","0","","","0","0","0","0","0","0","0","0"
"Tajikistan","","0","0","","","","","","","","","","0"
"Thailand","19","28","21","23","31","59","54","52","40","36","64","43","49"
"Timor-Leste","0","7","1","0","0","5","0","0","0","3","0","0",""
"Tonga","0","0","","","","0","0","0","0","0","0","","0"
"Trinidad and Tobago","","","","","","","","","","","","","0"
"Tunisia","","","0","","","","0","","","","","0","0"
"Turkmenistan","0","","0","","","","","","","","","",""
"Tuvalu","","","","","","","","","","","0","0","0"
"Ukraine","","","","","","","","0","","","0","","0"
"United Arab Emirates","","","","","","","","","","","0","",""
"United Kingdom of Great Britain and Northern Ireland","0","","0","0","0","0","0","0","0","0","0","0","0"
"United Republic of Tanzania","","","","","","0","0","","","","","0","0"
"Uruguay","0","","","","","","","","","","","0",""
"Uzbekistan","","0","0","0","","0","","0","0","0","0","","0"
"Vanuatu","0","","","","","","","","","","","",""
"Viet Nam","313","200","357","368","421","224","183","126","140","68","17","38",""
"Yemen","","","","","","0","","","","","","",""
"Zambia","0","0","","","","0","0","0","0","0","0","0","0"
"Zimbabwe","0","0","0","0","","","0","","","0","","",""
