"","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases","Diphtheria - number of reported cases"
"Austria","0","0","2","0","2","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0"
"Azerbaijan","0","0","0","0","0","0","0","0","0","","3","4","0","0","0","0","0","0","7","19","20","38","146","883","841","170","72","66","4","","","","","","","","","",""
"Bahamas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Bangladesh","36","5","2","6","13","2","16","11","27","23","43","86","34","125","117","78","73","122","21","58","123","96","164","282","295","497","855","801","711","1229","613","24","1124","204","1209","3520","1860","1342","1559"
"Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","0"
"Belarus","","0","0","0","0","0","0","0","1","3","3","5","6","11","15","6","7","25","52","38","36","96","179","322","230","120","66","26","22","","","","","","","","","",""
"Belgium","2","3","6","2","0","1","1","0","0","0","0","0","0","0","0","1","1","0","","","0","0","0","3","0","0","0","0","0","0","0","5","0","0","0","3","0","0","1"
"Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","4","0","0"
"Benin","","","","0","0","0","0","","","","","","","","","","0","","","","","","0","","","","","30","","59","14","47","6","16","2","2","3","1","127"
"Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","1","142","0","0","0","0","0","0","4","1","","40","1","3","7","4","19","4","0","1","5"
"Bolivia (Plurinational State of)","0","0","0","0","0","0","0","0","5","0","0","0","0","0","2","3","5","3","1","2","8","3","1","5","5","4","20","2","4","11","9","16","15","31","25","49","24","22","31"
"Bosnia and Herzegovina","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"Botswana","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","2","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","0","1","15","1","2"
"Brazil","1","5","4","12","5","4","0","5","32","4","85","0","9","27","15","49","19","10","46","53","217","32","181","171","245","252","276","495","640","801","987","1284","1804","2304","2860","3369","3297","3846","4646"
"Brunei Darussalam","0","0","0","0","0","","0","0","0","0","0","","","0","0","0","","0","0","0","0","0","","","","","0","","0","0","0","0","0","0","0","0","0","0","0"
"Bulgaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Burkina Faso","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","0","0","0","0","0","0","0","13","15","28","42","51","383","737","751","759","725"
"Burundi","","","","","","","","0","0","0","0","0","0","0","0","","","","0","0","","","","0","","","30","1","0","2","3","2","3","14","4","19","8","20","6"
"Cabo Verde","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","0","0","2","","1","0","2","3","0","2"
"Cambodia","0","0","0","0","0","0","","","3","3","7","5","0","0","4","3","0","0","0","","0","0","0","","5","22","13","11","179","70","13","88","292","367","410","460","1503","1231","1559"
"Cameroon","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","0","0","0","0","0","4","8","41","412","0","0","0",""
"Canada","1","4","1","3","1","0","1","1","0","2","4","5","0","0","1","2","2","0","0","1","0","1","0","2","1","2","2","3","5","3","4","4","5","9","8","11","12","7","55"
"Central African Republic","48","106","0","0","0","35","0","","0","0","","0","","0","0","0","0","0","0","0","","0","","0","","","","","0","0","10","6","4","0","1","21","23","25","8"
"Chad","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","4","10","4","1","0","",""
"Chile","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","8","12","25","36","47","132","183","290","223","154","76","122","203","253"
"China","0","0","0","0","","0","0","0","0","0","0","0","1","0","2","9","11","12","19","16","40","35","","85","119","124","146","231","421","343","267","427","787","1423","3418","7227","6502","8481","9767"
"Colombia","8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","4","0","11","0","2","3","7","12","14","45","76","10","16","42","23","45","23","252","54","127","117","145","0"
"Comoros","","","","0","0","0","","","0","0","","0","0","0","0","0","0","","","","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0"
"Congo","0","0","0","","0","0","1","0","0","0","0","0","0","0","","0","0","0","","0","","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","1","2"
"Cook Islands","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Costa Rica","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Côte d'Ivoire","","","","","","","","","","","","","","","","0","0","0","","","0","0","0","0","","","","","","","","","","","","","","",""
"Croatia","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"Cuba","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Czechia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","","","","","","","","","",""
"Democratic People's Republic of Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","37","18"
"Democratic Republic of the Congo","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","54","26","24","43"
"Denmark","0","1","","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Djibouti","","","","","","0","0","0","0","0","0","0","","0","0","0","","0","0","2","2","","0","0","","0","0","0","0","0","4","0","","1","3","0","0","1","411"
"Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"Dominican Republic","1","1","3","1","0","0","0","2","4","5","3","4","16","39","122","38","35","47","52","44","25","25","6","13","4","6","31","11","27","29","105","77","52","100","142","124","120","125","187"
"Ecuador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","5","21","21","22","154","565","13","10","5","3","4","8","18","11","44","77","24","38","22","16"
"Egypt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","2","3","1","6","10","18","29","44","55","59","110","184","368","630","663","727","994","804","411","333"
"El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4","15","18","22","1","2"
"Equatorial Guinea","","","0","0","0","0","0","0","","","","","","","","","0","0","","","","0","0","","","","","","","","","","","","","3","","",""
"Eritrea","0","3","4","2","","0","8","5","3","4","","","0","","3","","","","","","","","0","0","","","","","","","","","","","","","","",""
"Estonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","3","14","19","7","11","3","7","0","","","","","","","","","",""
"Eswatini","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ethiopia","","","","","","","","","","","","","","","","","","","","125","19","","","45","","","","","61","10","60","271","121","99","524","354","697","304","142"
"Fiji","0","","","","","","","","","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Finland","0","0","0","1","","0","","0","0","0","0","0","0","0","0","0","0","2","","","0","0","3","3","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"France","","6","8","14","6","5","","","","0","5","1","3","0","5","0","1","","0","","","","0","0","0","1","0","0","0","1","0","2","4","4","2","4","3","6","3"
"Gabon","","","","","","","","","","","","","0","","0","","0","","","","","","0","","","18","463","","","16","3","20","4","7","11","4","1","0","1"
"Gambia","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","0","0"
"Georgia","0","0","0","1","2","4","0","1","0","3","7","9","14","10","12","26","28","22","28","60","114","286","348","429","312","28","3","7","","","","","","","","","","",""
"Germany","26","11","9","14","9","4","9","4","8","4","0","2","0","1","1","0","1","0","0","1","1","3","3","4","8","9","1","2","6","5","4","8","7","4","8","17","30","7","19"
"Ghana","0","0","0","0","0","0","0","","47","0","","0","0","","","0","0","0","0","0","","","3","0","0","5","4","0","66","38","43","37","4","1","37","17","65","27","40"
"Greece","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0"
"Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"Guatemala","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","3","1","2","10","0","0","0","17","3","13","14","17","9"
"Guinea","0","0","0","","","0","0","0","0","0","0","0","0","36","8","134","114","0","0","0","0","0","0","","","","","","37","25","5","5","0","0","60","86","4","16","0"
"Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","0","","","","","12","0","0","1","0","40","0","","0","0","0","0"
"Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Haiti","105","76","5","32","3","0","0","2","46","0","3","5","5","3","37","2","6","5","0","8","0","0","0","0","","","","","0","2","29","7","4","55","25","21","26","24","23"
"Honduras","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Hungary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","1","6"
"Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"India","8788","5293","3380","2365","6094","3133","2525","4233","3434","3529","3977","3812","2834","5826","8465","4236","5301","5472","5125","1786","1378","1326","2504","2123","3040","7131","8115","12550","8425","11152","16472","12952","9426","15685","17055","13776","17191","26315","39231"
"Indonesia","1026","954","342","","430","775","1192","806","432","189","219","183","432","499","197","402","51","34","23","114","14","4355","562","597","64","82","129","1342","2200","1603","2079","268","928","1161","1792","1389","3285","3507","3674"
"Iran (Islamic Republic of)","148","2","10","28","13","190","150","132","106","58","52","32","26","15","6","24","10","15","18","13","13","30","13","9","14","32","90","335","373","263","288","480","162","143","128","157","295","377","139"
"Iraq","2","2","1","2","5","4","3","0","2","13","6","3","6","6","17","","","33","34","142","181","290","460","133","132","239","369","261","10","238","415","314","350","1348","1378","1169","1260","1393","1122"
"Ireland","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Israel","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Italy","1","0","","1","","","0","0","0","0","","0","0","0","0","0","0","","0","0","0","0","1","1","1","0","0","1","2","5","0","1","3","5","7","10","19","34","30"
"Jamaica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","1","6","2","8","7","8","12","17","18","13"
"Japan","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","1","1","","1","","1","","","5","","2","5","4","9","7","9","9","15","20","30","47","66"
"Jordan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","2","0","0","13","20","4","5"
"Kazakhstan","0","0","0","0","0","0","0","0","0","0","5","5","9","1","0","4","14","14","13","17","75","162","455","1105","489","82","45","30","28","","","","","","","","","",""
"Kenya","","","","","","","","","","","","","","","0","0","","6","15","13","3","0","","0","","","","","1","0","0","0","0","0","0","2","2","0","6395"
"Kiribati","0","0","","","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","24","1"
"Kuwait","","","","","0","0","0","0","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","15","1","1"
"Kyrgyzstan","0","1","1","0","","0","0","0","0","0","0","1","2","1","2","1","3","13","15","66","138","292","412","704","304","6","4","10","6","","","","","","","","","",""
"Lao People's Democratic Republic","0","10","3","194","0","20","130","0","34","0","2","2","2","9","11","116","40","2","3","6","8","10","319","0","193","4","5","2","9","14","23","189","37","23","30","64","813","","11"
"Latvia","3","3","6","10","13","14","8","6","2","6","28","18","32","20","20","26","45","91","264","81","67","42","112","369","250","12","8","5","3","","","","","","","","","",""
"Lebanon","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","","","","","","0","0","0","0","1","","1",""
"Lesotho","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","23","0","0","","0","","","","","","","","1","37","80","72","4","14","26","16","23","135","8","13"
"Liberia","","","","0","0","0","0","0","0","0","","","","0","0","","","","","","","","0","","","","","","","","","","","","","","","",""
"Libya","0","","","","","","","","","0","0","0","0","0","","","2","0","","","0","0","","","0","0","0","0","0","0","1","0","0","0","0","2","2","1","6"
"Lithuania","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","3","0","2","6","2","2","11","43","38","8","9","1","","","","","","","","","","",""
"Luxembourg","","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Madagascar","0","0","2865","1627","","0","1","5","0","","","3","0","","","","","12","12","","112","51","154","179","","","","","252","246","544","174","288","1963","1799","1988","1333","836","227"
"Malawi","0","0","0","0","1","0","","","0","0","0","0","0","0","0","0","0","0","","","0","","0","0","0","0","0","30","","","","","","","33","31","69","11","13"
"Malaysia","18","32","31","4","2","4","0","0","3","0","4","2","0","3","3","11","2","4","1","6","5","1","0","1","0","4","4","12","9","35","20","26","28","39","17","24","10","15","131"
"Maldives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mali","0","","","0","0","","","","","","0","","0","0","0","","","","","0","","","0","1","","","","6","5","13","1","50","15","259","29","58","2","2","143"
"Malta","0","0","0","0","0","","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marshall Islands","","","","","","","0","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0","1","0","0","0","0","0","0","0"
"Mauritania","0","","0","0","","","0","","","","0","0","","0","","0","","","","","","0","","","","","","","18","137","113","51","80","129","80","26","2","0","0"
"Mauritius","","0","","","0","0","0","0","0","5","0","0","0","0","0","0","","0","0","0","","","0","","","","","","","0","0","0","0","1","0","0","0","0","0"
"Mexico","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","2","31","28","4","0","0","0","1","7"
"Micronesia (Federated States of)","0","0","0","0","0","","","","","0","","0","0","0","","0","","0","0","0","0","0","","0","0","","0","0","0","0","","0","","","","","","",""
"Monaco","","0","","","","","","","","","","","","","","0","0","","","","","","","0","0","","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Mongolia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","4","11","50","69","48","128","14","6","0","1","1","7","24","0","0","0","0","0","0","0","0"
"Montenegro","","0","0","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","0","","","","","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","14","1","7","7","11","20","33","48","38","43"
"Mozambique","0","0","","0","","","","","","","0","","0","0","0","0","0","0","","","","0","1","","0","0","2","2","0","1","3","1","1","1","3","4","18","6","11"
"Myanmar","127","68","136","87","29","38","19","7","4","19","3","5","3","5","1","21","50","","17","18","22","5","15","28","46","92","54","114","181","199","231","313","159","268","353","595","782","959","830"
"Namibia","2","0","0","0","0","","2","2","0","","0","0","","0","0","0","0","0","0","0","3","0","0","","","","","","","","","","","","","","","",""
"Nauru","0","","","","","","","0","0","0","0","0","0","0","0","","0","0","0","0","","0","","0","","","","","0","0","0","0","0","0","0","0","0","0","0"
"Nepal","232","728","140","26","1079","103","138","94","146","277","149","44","72","46","81","173","108","390","268","","511","726","1372","2038","16","4","16","15","7","3","13","15","11","1156","1293","115","111","20","82"
"Netherlands","4","2","3","5","0","0","1","1","","0","0","0","0","0","0","0","0","","0","1","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","2","0","0","0"
"New Zealand","0","1","1","2","2","0","0","20","0","0","","0","0","0","0","0","1","0","0","0","1","0","","0","0","0","0","0","0","0","0","2","1","0","2","4","1","0","1"
"Nicaragua","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","2","2","5"
"Niger","44","5","0","0","0","73","0","0","0","0","0","10","29","","0","2","11","48","12","0","25","31","","4","","","","","102","75","19","22","35","269","","","16","27","34"
"Nigeria","1870","0","","","","","","0","","","","","312","","","","790","2468","3995","","708","","2016","","469","2042","2351","2849","1768","5039","1930","715","1871","1996","733","275","1170","164","165"
"Niue","0","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0"
"Norway","1","1","0","2","2","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Oman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","1","6","9","13","19","10","7"
"Pakistan","413","560","12","9","9","183","98","22","37","34","32","11","42","23","24","26","22","19","13","12","20","26","13","9","28","34","72","26","1371","167","2011","2720","3179","1450","670","1402","6520","14338","14328"
"Palau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Panama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Papua New Guinea","0","0","0","0","0","","0","0","0","","","0","0","593","","403","26","311","15","0","645","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Paraguay","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","2","50","1","0","0","0","0","0","1","1","6","6","4","10","8","12","19","19","27","10","3","14","6","14"
"Peru","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","2","4","4","31","10","6","35","44","68","36","54","117","140","127","121","189","160","185"
"Philippines","183","68","42","9","0","6","","","107","118","65","39","47","118","89","88","62","73","88","64","83","138","","173","316","323","759","1004","921","940","1202","1443","1630","1669","1968","1812","2140","819","1910"
"Poland","0","0","0","","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","0","0","9","2","2","10","1","0","0","0","1","1","0","0","0","1","0","1","0"
"Portugal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","3","0","0","1","1","6","3","51","10","36","16","18","90"
"Qatar","0","2","0","0","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","7","6","0","0","0","2","0","1"
"Republic of Korea","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","","0","","","0","0","0","","","","1","","0","0","0","1","2","2","16","19","17","43","51"
"Republic of Moldova","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","5","10","11","11","49","94","418","376","35","22","14","6","","","","","","","","","",""
"Republic of North Macedonia","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","","","","","","","","",""
"Romania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","2","1","1","19","14","1","0","12"
"Russian Federation","4","0","2","2","1","2","5","5","9","14","50","91","178","353","505","655","778","909","771","838","1409","4037","13687","35631","39703","15229","3897","1869","1211","","","","","","","","","",""
"Rwanda","0","","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","","","0","","","","","1","14","3","0","1","2","15","1","0","5","8","3"
"Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Saint Vincent and the Grenadines","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Samoa","1","0","","","","","0","0","0","0","","","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0"
"San Marino","0","0","0","","","","0","","0","0","","0","0","0","0","0","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sao Tome and Principe","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","","","","","0","","","","0","0","0","0","0","0","0","0"
"Saudi Arabia","7","1","2","4","2","0","0","3","0","0","0","3","2","7","","2","9","0","","0","0","1","0","1","1","8","2","2","1","8","14","21","33","65","128","210","188","177","99"
"Senegal","0","0","","0","0","","","","","0","","0","","0","","","","","","","0","0","","","","","","","","","","","","","","162","100","91","291"
"Serbia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","","0","0","0","0","0","0","0","","0","0",""
"Sierra Leone","","","","","","","","","","","","0","0","0","","0","","","0","","","0","","","","","","","","","","10","0","0","804","","","0","0"
"Singapore","0","1","","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","","0","0","0","1","1","1","1","0","1","1","0","0","4","6","0","0"
"Slovakia","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"Slovenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
